Persian,English
فرار,ran
بررسی,check
بازی,game
شکل,shape
برابر,equate
داغ,hot
دست,miss
آورده,brought
حرارت,heat
برف,snow
لاستیک,tire
را,bring
بله,yes
دور,distant
پر,fill
شرق,east
رنگ,paint
زبان,language
در میان,among
واحد,unit
قدرت,power
شهر,town
خوب,fine
معین,certain
پرواز,fly
سقوط,fall
شود,lead
فریاد,cry
تاریک,dark
ماشین,machine
یادداشت,note
صبر,wait
برنامه,plan
شکل,figure
ستاره,star
جعبه,box
اسم,noun
حوزه,field
بقیه,rest
درست,correct
قادر,able
پوند,pound
انجام,done
زیبایی,beauty
درایو,drive
ایستاده بود,stood
شامل,contain
جلو,front
آموزش,teach
هفته,week
به,gave
سبز,green
آه,oh
سریع,quick
توسعه,develop
اقیانوس,ocean
رایگان,free
دقیقه,minute
قوی,strong
ویژه,special
ذهن,mind
پشت سر,behind
روشن,clear
دم,tail
محصول,produce
واقع,fact
فضا,space
شنیده,heard
بهترین,best
ساعت,hour
بهتر,better
درست است,TRUE
در,during
صد,hundred
پنج,five
به یاد داش,remember
گام,step
اوایل,early
نگه داشتن,hold
غرب,west
زمین,ground
علاقه,interest
رسیدن به,reach
سریع,fast
فعل,verb
آواز خواندن,sing
شش,six
جدول,table
سفر,travel
کمتر,less
صبح,morning
ده,ten
ساده,simple
چند,several
واکه,vowel
به سمت,toward
جنگ,war
الگوی,pattern
کند,slow
مرکز,center
دوست دارم,love
فرد,person
پول,money
خدمت,serve
به نظر می رسد,appear
جاده,road
نقشه,map
باران,rain
قانون,rule
حکومت,govern
کشیدن,pull
سرد,cold
اطلاع,notice
صدای,voice
انرژی,energy
شکار,hunt
احتمالی,probable
تخت,bed
برادر,brother
تخم مرغ,egg
سوار,ride
سلول,cell
باور,believe
شاید,perhaps
انتخاب کنید,pick
ناگهانی,sudden
شمار,count
مربع,square
دلیل,reason
طول,length
نمایندگی,represent
هنر,art
موضوع,subject
منطقه,region
اندازه,size
متفاوت ا,vary
حل و فصل,settle
کنند,speak
وزن,weight
عمومی,general
یخ,ice
موضوع,matter
دایره,circle
جفت,pair
عبارتند از,include
تقسیم,divide
هجا,syllable
نمد,felt
بزرگ,grand
توپ,ball
هنوز,yet
موج,wave
رها کردن,drop
قلب,heart
ساعت,am
حاضر,present
سنگین,heavy
رقص,dance
موتور,engine
موقعیت,position
دست,arm
گسترده,wide
ماده,material
بخش,fraction
جنگل,forest
نشستن,sit
مسابقه,race
پنجره,window
فروشگاه,store
قطار,train
خواب,sleep
ثابت,prove
تنها,lone
پا,leg
ورزش,exercise
دیوار,wall
گرفتن,catch
کوه,mount
آرزو,wish
آسمان,sky
هیئت مدیره,board
لذت,joy
شنبه,sat
نوشته شده,written
وحشی,wild
ابزار,instrument
نگه داشته,kept
شیشه ای,glass
چمن,grass
گاو,cow
کار,job
لبه,edge
علامت,sign
بازدید,visit
گذشته,past
نرم,soft
سرگرم,fun
روشن,bright
گاز,gas
آب و هوا,weather
ماه,month
میلیون,million
تحمل,bear
شاد,happy
امیدوارم,hope
گل,flower
پوشاندن,clothe
عجیب و غر,strange
رفته,gone
تجارت,trade
ملودی,melody
سفر,trip
دفتر,office
دریافت,receive
ردیف,row
دهان,mouth
دقیق,exact
نماد,symbol
مرگ,die
کمترین,least
مشکل,trouble
فریاد,shout
جز,except
